Date;AGG;DBC;EWJ;EWW;ILF;MTUM;SPY;VO;RENTA FIJA PLUS;COLCAP
1/03/2023;-0.005074;-0.032588;0.005747;-0.009513;-0.043704;-0.041381;-0.023251;-0.073990;0.028365;-0.060887
1/02/2023;0.008251;-0.007941;-0.009932;0.037544;-0.031752;-0.003498;0.012253;0.010349;0.015224;-0.082827
1/01/2023;-0.019434;-0.043308;0.022636;0.101235;0.055000;-0.057691;0.008796;0.024337;0.011240;0.003136
1/12/2022;-0.005531;-0.025726;-0.016891;-0.078385;-0.125365;-0.037957;-0.056153;-0.052757;0.008341;0.034361
1/11/2022;0.030137;0.009661;0.104990;0.058811;0.004645;0.029130;0.049140;0.054697;-0.001560;0.008981
1/10/2022;0.050413;0.114840;0.088541;0.199428;0.153397;0.183679;0.143614;0.147208;0.010611;0.087590
1/09/2022;-0.018623;-0.047234;-0.066870;0.025286;0.001169;-0.043326;-0.075363;-0.082411;0.003215;-0.084997
1/08/2022;-0.024091;-0.006321;-0.037936;-0.047300;0.039641;-0.011415;-0.032930;-0.021093;-0.003466;-0.053596
1/07/2022;0.085996;0.042667;0.123710;0.067260;0.107446;0.113168;0.150853;0.154017;-0.004373;-0.020559
1/06/2022;0.026688;-0.033822;-0.042304;-0.067064;-0.188014;-0.024438;-0.046231;-0.057167;-0.006434;-0.192209
1/05/2022;-0.004661;0.034623;0.006684;0.041555;0.075033;-0.016484;-0.008222;-0.014094;0.000929;0.025759
1/04/2022;0.017266;0.112438;-0.026899;-0.048667;-0.094615;-0.078050;-0.034299;-0.026060;-0.003538;-0.033742
1/03/2022;-0.057437;0.060327;-0.048810;0.060535;0.094535;0.016900;0.006347;-0.004357;-0.005054;0.056207
1/02/2022;-0.028094;0.047539;-0.033081;0.021075;0.039495;-0.042279;-0.045092;-0.024893;0.005348;-0.005984
1/01/2022;-0.059225;0.036925;-0.083000;-0.080394;0.043167;-0.133687;-0.093220;-0.121133;0.000840;0.085503
1/12/2021;0.002610;0.073243;0.018094;0.119064;-0.005328;0.001352;0.050344;0.043426;-0.006197;0.026668
1/11/2021;0.066577;-0.026220;0.034713;0.000506;0.012639;0.025153;0.057377;0.040163;-0.006400;-0.014596
1/10/2021;-0.016501;0.041514;-0.041533;-0.012982;-0.071428;0.067543;0.052966;0.048964;-0.001359;0.023289
1/09/2021;-0.005621;0.055857;0.031721;-0.052344;-0.103750;-0.032083;-0.045892;-0.040300;0.007430;0.031316
1/08/2021;-0.011495;-0.024600;0.010986;0.033698;-0.011765;0.032313;0.021272;0.021730;0.001134;0.065131
1/07/2021;0.030798;0.033951;0.014661;0.042283;-0.038428;0.030231;0.045167;0.034107;0.001543;-0.009736
1/06/2021;0.022713;0.050276;0.000646;0.013429;0.044569;0.033611;0.034840;0.030569;-0.002434;0.039136
1/05/2021;-0.001393;0.035886;0.015143;0.054741;0.074379;-0.012541;0.004628;0.006110;0.004855;-0.040592
1/04/2021;0.001780;0.071352;-0.020186;0.032512;0.023505;0.064178;0.047556;0.043165;-0.013303;-0.051549
1/03/2021;0.019413;0.025393;0.036979;0.107665;0.072493;0.019989;0.073720;0.053408;-0.001437;-0.031890
1/02/2021;-0.005386;0.108116;0.029744;0.023176;-0.011919;0.005674;0.038976;0.063577;0.006090;0.008391
1/01/2021;0.034611;0.074874;0.033611;-0.025265;-0.035463;0.057893;0.031841;0.037333;0.003483;-0.064466
1/12/2020;-0.054594;0.000435;-0.004592;0.005289;0.056694;-0.020839;-0.020525;-0.017759;0.005558;0.133654
1/11/2020;-0.057819;0.028931;0.032212;0.103799;0.154874;0.032829;0.035083;0.057263;0.001851;0.101350
1/10/2020;-0.013948;-0.038534;-0.020788;0.017061;-0.007112;-0.049397;-0.031886;-0.007318;0.006631;-0.030470
1/09/2020;0.034464;0.000993;0.055022;0.050668;-0.010210;-0.003334;-0.005071;0.016979;0.006347;-0.036948
1/08/2020;-0.003733;0.051595;0.071981;0.017884;-0.050939;0.096842;0.073739;0.037617;0.011449;0.069540
1/07/2020;0.005086;0.043641;-0.017071;0.013914;0.074307;0.061531;0.050953;0.055133;0.007839;0.020071
1/06/2020;0.016974;0.056234;0.003343;0.011912;0.062616;0.051776;0.025413;0.028153;0.024745;0.014459
1/05/2020;-0.053288;0.019666;0.010168;0.027755;0.011158;-0.000946;-0.011429;0.012184;0.018378;-0.041295
1/04/2020;-0.020844;-0.067334;0.011141;-0.003792;0.011339;0.074934;0.083816;0.097357;-0.010699;0.016056
1/03/2020;0.141390;-0.041706;0.078941;-0.235223;-0.278047;0.021724;0.009483;-0.059645;0.003999;-0.321243
1/02/2020;0.038770;-0.043676;-0.061417;-0.071843;-0.086959;-0.049399;-0.057306;-0.066631;0.007320;-0.046784
1/01/2020;0.058991;-0.050904;0.013431;0.057169;-0.042956;0.075653;0.038500;0.036432;0.006591;-0.023487
1/12/2019;-0.072715;-0.027412;-0.071566;-0.034256;0.006491;-0.055620;-0.044627;-0.049899;-0.001729;0.030848
1/11/2019;0.034614;0.035875;0.049881;0.019191;-0.011429;0.069562;0.072739;0.068892;0.003269;-0.013085
1/10/2019;-0.004213;0.015062;0.029583;0.032506;0.042670;0.002400;0.017827;0.007000;0.005531;0.034378
1/09/2019;-0.018774;0.003734;0.040651;0.018406;0.020871;-0.025308;0.004337;0.007249;0.003814;0.011755
1/08/2019;0.066707;-0.005810;0.033655;0.047397;-0.034491;0.044245;0.024713;0.013635;0.004950;-0.001672
1/07/2019;0.030235;0.019175;0.026462;-0.019178;0.009417;0.048485;0.045691;0.043701;0.005911;0.008454
1/06/2019;-0.041943;-0.011621;-0.015838;-0.039850;-0.009368;0.005052;0.011909;0.014618;0.004639;0.040836
1/05/2019;0.050627;-0.027422;-0.015849;-0.038463;-0.001101;0.011883;-0.031799;-0.028397;0.003658;-0.056631
1/04/2019;0.014165;0.030454;0.031287;0.075645;0.027861;0.040878;0.058615;0.055041;0.005045;-0.008920
1/03/2019;0.057019;0.034746;0.045113;0.039201;0.015017;0.055232;0.052056;0.048516;0.003953;0.051348
1/02/2019;-0.033173;-0.001581;-0.028064;-0.062060;-0.069300;0.003827;0.002365;0.012163;0.003744;0.041464
1/01/2019;-0.017159;0.042444;0.042200;0.062483;0.112321;0.036327;0.050795;0.073364;0.003563;0.087385
1/12/2018;0.018012;-0.050963;-0.084990;0.023634;-0.038538;-0.079174;-0.095214;-0.105553;0.003897;-0.039419
1/11/2018;0.012707;-0.093721;0.019014;-0.032539;-0.014056;0.024008;0.028317;0.033062;0.002666;-0.009338
1/10/2018;0.062618;0.013624;-0.022280;-0.125282;0.118454;-0.032304;-0.000137;-0.015790;0.004683;-0.078633
1/09/2018;-0.023009;0.018774;0.019332;0.002916;0.024700;-0.007695;-0.013198;-0.023462;0.004617;-0.024076
1/08/2018;0.056522;0.060735;0.047916;0.021168;-0.033674;0.110246;0.084648;0.077794;0.004058;0.010536
1/07/2018;-0.028075;-0.050249;-0.014978;0.072110;0.081017;-0.008187;0.010750;-0.000631;0.003479;-0.032488
1/06/2018;0.021875;0.003588;-0.007921;0.076787;-0.035862;0.019370;0.024445;0.029108;0.003674;0.019401
1/05/2018;0.030745;0.052828;0.011462;-0.117581;-0.129600;0.060310;0.050433;0.044444;0.004724;-0.012113
1/04/2018;-0.008506;0.036805;0.002558;0.004769;-0.020484;0.008208;0.008372;0.001270;0.004640;0.072880
1/03/2018;-0.020966;-0.002819;-0.031859;0.006297;-0.027579;-0.063067;-0.057242;-0.029852;0.003659;-0.015550
1/02/2018;0.000619;-0.016677;-0.017163;-0.049145;-0.019920;-0.001713;-0.024039;-0.027986;0.004048;-0.052605
1/01/2018;-0.075102;-0.034714;-0.014783;0.010856;0.066115;0.015232;-0.008960;-0.022093;0.004757;0.028995
1/12/2017;0.023605;0.048781;0.021649;0.003221;0.068965;0.019571;0.028272;0.027472;0.005318;0.046255
1/11/2017;-0.033401;-0.020506;-0.008576;-0.032617;-0.070727;-0.002255;0.000276;0.001198;0.005145;0.014391
1/10/2017;0.002116;0.042057;0.054639;-0.078404;-0.030111;0.052360;0.026502;0.017597;0.004642;-0.043233
1/09/2017;0.019488;0.046978;0.045418;-0.006187;0.043393;0.052173;0.042304;0.046467;0.005916;0.003536
1/08/2017;-0.004386;-0.007674;-0.012569;-0.008641;0.034271;0.002915;-0.008742;-0.017739;0.004308;0.000607
1/07/2017;-0.018316;0.020425;0.000885;0.023228;0.065820;0.014578;0.000752;-0.001722;0.005139;0.012547
1/06/2017;0.040114;0.032752;0.049127;0.086358;0.041404;0.043182;0.043884;0.044994;0.007005;0.016139
1/05/2017;-0.003587;-0.022535;0.018957;-0.010953;-0.042937;0.038308;0.005770;0.000801;0.008538;0.048348
