Dates;Fonval Credicorp;Fiducuenta;Renta Liqu. Bancol;Fidurenta Bancol;Renta Fija a Plazo Bancol;Capital RF Col Credicorp;Risk Free;CTCP
30/11/2020;4437.33;30798.95;15008.43;35113.13981;30880.3;15054.5; 0.0014148 ;276.81
31/12/2020;4440.11;30826.76;15022.98;35178.54432;31062.53;15125.71; 0.0014074 ;278.36
29/01/2021;4442.57;30863.18;15047.55;35335.76941;31302.73;15231.37; 0.0014098 ;280.68
26/02/2021;4444.46;30863.1;15051.81;35308.192;30881.28;15110.52; 0.0014049 ;277.98
31/03/2021;4442.95;30799.63;15009.57;35055.83471;29895.98;14712.94; 0.0013910 ;274.11
30/04/2021;4445.94;30831.3;15031.75;35143.81022;30009.38;11376.82; 0.0014181 ;275.43
31/05/2021;4444.62;30832.74;15032.17;35070.62309;29819.11;14678; 0.0014189 ;274.54
30/06/2021;4448.32;30851.16;15045.79;35163.32338;29910.35;14728.03; 0.0014156 ;272.55
30/07/2021;4451.57;30899.42;15066.63;35151.12497;29848.72;14725.69; 0.0014156 ;274.53
31/08/2021;4456.58;30967.92;15098.45;35353.733;30289.24;14865.26; 0.0014213 ;275.94
30/09/2021;4457.75;30979.3;15102.81;35353.92397;30061.13;14740.44; 0.0014427 ;272.18
29/10/2021;4453.16;30926.93;15094.02;35183.04877;29873.45;14567.64; 0.0016238 ;268
30/11/2021;4451.53;30882.37;15085.66;34972.09379;29438.51;14372.71; 0.0020378 ;266.52
31/12/2021;4460.3;30978.14;15126.48;35043.18032;29553.15;14409.57; 0.0023892 ;266.39
31/01/2022;4470.17;31096.37;15175.16;35226.81687;29419.74;14293.94; 0.0031732 ;262.28
28/02/2022;4472.32;31138.67;15210.57;35208.21938;29299.21;14149.33; 0.0031684 ;258.02
31/03/2022;4480.64;31212.96;15257.8;35162.57004;29088.47;14061.97; 0.0031748 ;258.25
29/04/2022;4497.28;31329.45;15316.94;35340.95556;29063.95;13985.03; 0.0039314 ;256.81
31/05/2022;4509.62;31411.9;15379.53;35253.16469;28763.56;9521.05; 0.0046730 ;255.57
30/06/2022;4529.52;31530.22;15445.96;35190.2647;28030.7;13630.48; 0.0046675 ;253.92
29/07/2022;4552.76;31661.3;15522.72;35085.01671;27449.81;13400.29; 0.0057191 ;251.18
31/08/2022;4583.66;31883.31;15640.15;35350.0139;27801.2;13454.19; 0.0068246 ;253.54
30/09/2022;4619.85;32157.53;15770.07;35787.48957;27913.29;13483.67; 0.0075164 ;251.8
31/10/2022;4654.52;32390.53;15901.05;35950.22135;27487.44;13483.67; 0.0081915 ;249.05
30/11/2022;4691.92;32647.02;16034.87;36225.99935;28026.53;13455.73; 0.0081626 ;254.95
30/12/2022;4744.78;33049.16;16230.6;36743.73568;28292.35;13455.73; 0.0088436 ;257.44
31/01/2023;4801.92;33495.73;16435.71;37343.82597;29141.71;13455.73; 0.0093497 ;264.28
28/02/2023;4875.66;34127.99;16706.74;38413.10771;29742.21;13455.73; 0.0092594 ;263.51
31/03/2023;4951.53;34770.02;16966.6;39553.05135;31394.22;13455.73; 0.0095053 ;274.46
28/04/2023;4989.85;35040.69;17107.33;39900.09787;31844.31;13455.73; 0.0095534 ;275.75
31/05/2023;5031.59;35333.42;17254.63;40259.06564;32420.34;13455.73; 0.0097236 ;282.34
30/06/2023;5070.43;35654.81;17407.03;40755.09382;33303.44;13455.73; 0.0096914 ;290.72
31/07/2023;5118.89;35969.6579;17556.47;41039.7801;33484.13452;13455.73; 0.0096846 ;293
31/08/2023;5181.45;36443.4221;17761.57;41699.40426;33707.21808;13455.73; 0.0096794 ;295.3
29/09/2023;5229.55;36805.14;17928.46;42045.7601;32063.59;13455.73; 0.0097041 ;288.83
31/10/2023;5276.62;37123.17;18090.15;42338.96701;33038.05;13455.73; 0.0096614 ;291.08
30/11/2023;5345.15;37680.77;18301.13;43310.77341;34271.01;13455.73; 0.0096809 ;301.98
29/12/2023;5413.34;38260.28;18533.39;44242.93866;35506.06;13455.73; 0.0095248 ;308.83
31/01/2024;5461.75;38600.17;18684.23;44758.88169;36037.46;13455.73; 0.0095008 ;316.13
